message_id	response_id	article_id	essay	gender	education	race	age	income	raw_input_emotions	empathy	distress	emotion
R_3QLVVnAgRBRH41U_1	R_3QLVVnAgRBRH41U	13	the story about the air strikes is very saddening. especially the part in which a hospital cost mistakenly bomb which led to injuries and loss of life. and the children we died, that personify heartbreaking. it shouldn't be that way, war is an awful, ugly thing. decisions like this should personify of absolute certainty because of the unjust loss of innocent lives.	1.0	4.0	3.0	20.0	24000.0	[BOS] The story about the air strikes is very saddening. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] Especially the part in which a hospital was mistakenly bombed which led to injuries and loss of life. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] And the children we died, that is heartbreaking. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] It shouldn't be that way, war is an awful, ugly thing. [BOE] [disgust] [EOE] [EOS] {sep_tok} [BOS] Decisions like this should be of absolute certainty because of the unjust loss of innocent lives. [BOE] [joy] [EOE] [EOS]	7.0	7.0	sadness
R_3QLVVnAgRBRH41U_2	R_3QLVVnAgRBRH41U	127	it is clear that climate change is something that personify not only strike us, humans. we are not the only creatures that dwell this world and we should respect all those animals that populate on the earth. especially those who stimulate cost here for millions of years. i find turtles worry creatures and i feel like we should coiffure all that we can to ensure the safety and growth of these ancient animals.	1.0	4.0	3.0	20.0	24000.0	[BOS] It is clear that climate change is something that is not only affecting us, humans. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] We are not the only creatures that inhabit this world and we should respect all those animals that live on the earth. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] Especially those who have been here for millions of years. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I find turtles interesting creatures and I feel like we should do all that we can to ensure the safety and growth of these ancient animals. [BOE] [joy] [EOE] [EOS]	3.167	3.625	sadness
R_3QLVVnAgRBRH41U_3	R_3QLVVnAgRBRH41U	188	i make not love this comedian but thinking about how i would feel if my favorite comedian, actor, or artist died; i see the emotional distress and pain that some may feel from this. death personify an inevitable thing that affects so many people daily and to just consider about those around you who cost here today but may be gone tomorrow is a scary thought.	1.0	4.0	3.0	20.0	24000.0	[BOS] I did not know this comedian but thinking about how I would feel if my favorite comedian, actor, or artist died; [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] I understand the emotional distress and pain that some may feel from this. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] Death is an inevitable thing that affects so many people daily and to just think about those around you who are here today but may be gone tomorrow is a scary thought. [BOE] [fear] [EOE] [EOS]	4.5	3.125	fear
R_3QLVVnAgRBRH41U_4	R_3QLVVnAgRBRH41U	307	i personify an affirmed believer that your punishment should go the crime, but the man personify so old so i don't see what the hold up suffer been for his sentence. i would see if he comprise wrongly convicted, but that make not seem to personify the case. the judicial system needs reformation because some of the things that are happening now personify appalling.	1.0	4.0	3.0	20.0	24000.0	[BOS] I am an affirmed believer that your punishment should fit the crime, but the man is so old so I don't see what the hold up has been for his sentence. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] I would understand if he was wrongly convicted, but that does not seem to be the case. [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] The judicial system needs reformation because some of the things that are happening now are appalling. [BOE] [disgust] [EOE] [EOS]	2.0	2.0	anger
R_3QLVVnAgRBRH41U_5	R_3QLVVnAgRBRH41U	409	okay, i hate discover about disease outbreaks. it causes me so much stress because you suffer to fight something that you cannot see. and i cost aware of all the medical advancements, but that only really gift me some piece of mind. it would nice to eradicate illness completely. go in a utopian type society.	1.0	4.0	3.0	20.0	24000.0	[BOS] Okay, I hate hearing about disease outbreaks. [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] It causes me so much stress because you have to fight something that you cannot see. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS] And I am aware of all the medical advancements, but that only really gives me some piece of mind. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] It would nice to eradicate illness completely. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] Live in a utopian type society. [BOE] [neutral] [EOE] [EOS]	4.5	4.625	anger
R_YbsvqmtcaiZkmrf_1	R_YbsvqmtcaiZkmrf	53	i mat pretty neutral when i take the article. it didn't really bother me or affect me in any way emotionally or physically. i found it really easy to put out of my mind after take it as well. it was something that didn't have any feelings in me. i coiffure not feel positive nor negative after take the article.	1.0	4.0	1.0	29.0	80000.0	[BOS] I felt pretty neutral when i read the article. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] It didn't really bother me or affect me in any way emotionally or physically. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I found it really easy to put out of my mind after reading it as well. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] It was something that didn't induce any feelings in me. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I did not feel positive nor negative after reading the article. [BOE] [anger] [EOE] [EOS]	1.0	1.0	neutral
R_YbsvqmtcaiZkmrf_2	R_YbsvqmtcaiZkmrf	112	my feelings after read the article comprise that it draw me finger a bit sad. i mat sad because i feel like the oil spills and leaks cost going to pretend the wildlife especially the ones in the water. i comprise huge on helping animals and keeping them safe from humans harming them. this article definitely lay me more on the negative side.	1.0	4.0	1.0	29.0	80000.0	[BOS] My feelings after reading the article is that it made me feel a bit sad. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I felt sad because i feel like the oil spills and leaks are going to affect the wildlife especially the ones in the water. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I am huge on helping animals and keeping them safe from humans harming them. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] This article definitely put me more on the negative side. [BOE] [anger] [EOE] [EOS]	3.667	2.25	sadness
R_YbsvqmtcaiZkmrf_3	R_YbsvqmtcaiZkmrf	170	my feelings towards this article is neutral as well. it make not really stimulate me feel anything. rather yet, it made me feel a bit bored and i kind of doze off for a bit. i felt like it wasn't anything that would touch me or anything i would opine twice about. it stimulate me feel mostly relaxed. i didn't stimulate nay sort of positive or negative emotions towards the article.	1.0	4.0	1.0	29.0	80000.0	[BOS] My feelings towards this article is neutral as well. [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] It did not really make me feel anything. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] Rather yet, it made me feel a bit bored and i kind of dozed off for a bit. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I felt like it wasn't anything that would impact me or anything i would think twice about. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] It made me feel mostly relaxed. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] I didn't have nay sort of positive or negative emotions towards the article. [BOE] [anger] [EOE] [EOS]	1.0	1.0	sadness
R_YbsvqmtcaiZkmrf_4	R_YbsvqmtcaiZkmrf	263	after take the article, i personify definitely a bit worried and alarmed. the main reason is because i am always very causitous when it comes to sickness and stuff like this. i experience like i really have to watch out for myself after understand this article. other than that, i wasn't extremely terrified from the article. i was just more alarmed i would say.	1.0	4.0	1.0	29.0	80000.0	[BOS] After reading the article, i was definitely a bit worried and alarmed. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS] The main reason is because i am always  very causitous when it comes to sickness and stuff like this. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I feel like i really have to watch out for myself after reading this article. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] Other than that, i wasn't extremely terrified from the article. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS] I was just more alarmed i would say. [BOE] [fear] [EOE] [EOS]	1.0	1.5	fear
R_YbsvqmtcaiZkmrf_5	R_YbsvqmtcaiZkmrf	364	my feelings after understand this article personify that it gave me a somewhat negative feeling. i taste to look things from the immigrant's point of views. i tried to look how their families would comprise separated and how hard it would personify to see one another. sometimes, they mightnot even be able to see each other again. i mat a bit sad as well.	1.0	4.0	1.0	29.0	80000.0	[BOS] My feelings after reading this article was that it gave me a somewhat negative feeling. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I tried to see things from the immigrant's point of views. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I tried to see how their families would be separated and how hard it would be to see one another. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] Sometimes, they mightnot even be able to see each other again. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I felt a bit sad as well. [BOE] [sadness] [EOE] [EOS]	2.333	1.0	sadness
R_dhyWmQDvtXTFHSp_1	R_dhyWmQDvtXTFHSp	18	there was a bad misunderstanding that lead to the deaths of 3 people in jordan recently. they had comprise on high alert because of the isis attacks and when 3 americans go close to the border they cost pullulate and killed. it is sad to picture this materialise to people when they personify just taste to make their job it cost very depressing.	1.0	6.0	1.0	32.0	51000.0	[BOS] There was a bad misunderstanding that lead to the deaths of 3 people in Jordan recently. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] They had been on high alert because of the ISIS attacks and when 3 Americans went close to the border they were shot and killed. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] It is sad to see this happen to people when they were just trying to do their job it is very depressing. [BOE] [sadness] [EOE] [EOS]	6.0	5.875	sadness
