message_id	response_id	article_id	essay	gender	education	race	age	income	raw_input_emotions	empathy	distress	emotion
R_3QLVVnAgRBRH41U_1	R_3QLVVnAgRBRH41U	13	the story about the air strikes be very saddening. especially the part in which a hospital be mistakenly flunk which direct to injuries and loss of life. and the children we died, that be heartbreaking. it shouldn't be that way, war be an awful, ugly thing. decisions like this should be of absolute certainty because of the unjust loss of innocent lives.	1.0	4.0	3.0	20.0	24000.0	[BOS] The story about the air strikes is very saddening. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] Especially the part in which a hospital was mistakenly bombed which led to injuries and loss of life. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] And the children we died, that is heartbreaking. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] It shouldn't be that way, war is an awful, ugly thing. [BOE] [disgust] [EOE] [EOS] {sep_tok} [BOS] Decisions like this should be of absolute certainty because of the unjust loss of innocent lives. [BOE] [joy] [EOE] [EOS]	7.0	7.0	sadness
R_3QLVVnAgRBRH41U_2	R_3QLVVnAgRBRH41U	127	it be clear that climate change be something that be not only sham us, humans. we be not the only creatures that live this world and we should prize all those animals that survive on the earth. especially those who make been here for millions of years. i rule turtles worry creatures and i experience like we should coiffe all that we can to ensure the safety and growth of these ancient animals.	1.0	4.0	3.0	20.0	24000.0	[BOS] It is clear that climate change is something that is not only affecting us, humans. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] We are not the only creatures that inhabit this world and we should respect all those animals that live on the earth. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] Especially those who have been here for millions of years. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I find turtles interesting creatures and I feel like we should do all that we can to ensure the safety and growth of these ancient animals. [BOE] [joy] [EOE] [EOS]	3.167	3.625	sadness
R_3QLVVnAgRBRH41U_3	R_3QLVVnAgRBRH41U	188	i did not know this comedian but cogitate about how i would feel if my favorite comedian, actor, or artist died; i interpret the emotional distress and pain that some may feel from this. death be an inevitable thing that sham so many people daily and to just cogitate about those around you who be here today but may be operate tomorrow be a scary thought.	1.0	4.0	3.0	20.0	24000.0	[BOS] I did not know this comedian but thinking about how I would feel if my favorite comedian, actor, or artist died; [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] I understand the emotional distress and pain that some may feel from this. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] Death is an inevitable thing that affects so many people daily and to just think about those around you who are here today but may be gone tomorrow is a scary thought. [BOE] [fear] [EOE] [EOS]	4.5	3.125	fear
R_3QLVVnAgRBRH41U_4	R_3QLVVnAgRBRH41U	307	i be an affirmed believer that your punishment should suit the crime, but the man be so old so i don't insure what the hold up make be for his sentence. i would interpret if he be wrongly convicted, but that serve not seem to be the case. the judicial system needs reformation because some of the things that are happen now be appalling.	1.0	4.0	3.0	20.0	24000.0	[BOS] I am an affirmed believer that your punishment should fit the crime, but the man is so old so I don't see what the hold up has been for his sentence. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] I would understand if he was wrongly convicted, but that does not seem to be the case. [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] The judicial system needs reformation because some of the things that are happening now are appalling. [BOE] [disgust] [EOE] [EOS]	2.0	2.0	anger
R_3QLVVnAgRBRH41U_5	R_3QLVVnAgRBRH41U	409	okay, i detest try about disease outbreaks. it have me so much stress because you make to fight something that you cannot see. and i be aware of all the medical advancements, but that only really apply me some piece of mind. it would nice to extinguish illness completely. survive in a utopian type society.	1.0	4.0	3.0	20.0	24000.0	[BOS] Okay, I hate hearing about disease outbreaks. [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] It causes me so much stress because you have to fight something that you cannot see. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS] And I am aware of all the medical advancements, but that only really gives me some piece of mind. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] It would nice to eradicate illness completely. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] Live in a utopian type society. [BOE] [neutral] [EOE] [EOS]	4.5	4.625	anger
R_YbsvqmtcaiZkmrf_1	R_YbsvqmtcaiZkmrf	53	i mat pretty neutral when i register the article. it didn't really disoblige me or sham me in any way emotionally or physically. i rule it really easy to couch out of my mind after register it as well. it be something that didn't have any feelings in me. i serve not feel positive nor negative after register the article.	1.0	4.0	1.0	29.0	80000.0	[BOS] I felt pretty neutral when i read the article. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] It didn't really bother me or affect me in any way emotionally or physically. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I found it really easy to put out of my mind after reading it as well. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] It was something that didn't induce any feelings in me. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I did not feel positive nor negative after reading the article. [BOE] [anger] [EOE] [EOS]	1.0	1.0	neutral
R_YbsvqmtcaiZkmrf_2	R_YbsvqmtcaiZkmrf	112	my feelings after register the article exist that it build me feel a bit sad. i felt sad because i feel like the oil spills and leaks be operate to sham the wildlife especially the ones in the water. i am huge on avail animals and restrain them safe from humans harm them. this article definitely couch me more on the negative side.	1.0	4.0	1.0	29.0	80000.0	[BOS] My feelings after reading the article is that it made me feel a bit sad. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I felt sad because i feel like the oil spills and leaks are going to affect the wildlife especially the ones in the water. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I am huge on helping animals and keeping them safe from humans harming them. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] This article definitely put me more on the negative side. [BOE] [anger] [EOE] [EOS]	3.667	2.25	sadness
R_YbsvqmtcaiZkmrf_3	R_YbsvqmtcaiZkmrf	170	my feelings towards this article be neutral as well. it coiffe not really urinate me experience anything. rather yet, it made me feel a bit bored and i kind of drowse off for a bit. i mat like it wasn't anything that would touch me or anything i would cogitate twice about. it urinate me feel mostly relaxed. i didn't make nay sort of positive or negative emotions towards the article.	1.0	4.0	1.0	29.0	80000.0	[BOS] My feelings towards this article is neutral as well. [BOE] [anger] [EOE] [EOS] {sep_tok} [BOS] It did not really make me feel anything. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] Rather yet, it made me feel a bit bored and i kind of dozed off for a bit. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I felt like it wasn't anything that would impact me or anything i would think twice about. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] It made me feel mostly relaxed. [BOE] [joy] [EOE] [EOS] {sep_tok} [BOS] I didn't have nay sort of positive or negative emotions towards the article. [BOE] [anger] [EOE] [EOS]	1.0	1.0	sadness
R_YbsvqmtcaiZkmrf_4	R_YbsvqmtcaiZkmrf	263	after register the article, i be definitely a bit worried and alarmed. the main reason be because i am always very causitous when it descend to sickness and stuff like this. i feel like i really make to watch out for myself after register this article. other than that, i wasn't extremely terrorize from the article. i be just more alarmed i would say.	1.0	4.0	1.0	29.0	80000.0	[BOS] After reading the article, i was definitely a bit worried and alarmed. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS] The main reason is because i am always  very causitous when it comes to sickness and stuff like this. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I feel like i really have to watch out for myself after reading this article. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] Other than that, i wasn't extremely terrified from the article. [BOE] [fear] [EOE] [EOS] {sep_tok} [BOS] I was just more alarmed i would say. [BOE] [fear] [EOE] [EOS]	1.0	1.5	fear
R_YbsvqmtcaiZkmrf_5	R_YbsvqmtcaiZkmrf	364	my feelings after register this article was that it apply me a somewhat negative feeling. i try to insure things from the immigrant's point of views. i try to insure how their families would be fork and how hard it would be to see one another. sometimes, they mightnot even be able to insure each other again. i mat a bit sad as well.	1.0	4.0	1.0	29.0	80000.0	[BOS] My feelings after reading this article was that it gave me a somewhat negative feeling. [BOE] [sadness] [EOE] [EOS] {sep_tok} [BOS] I tried to see things from the immigrant's point of views. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I tried to see how their families would be separated and how hard it would be to see one another. [BOE] [surprise] [EOE] [EOS] {sep_tok} [BOS] Sometimes, they mightnot even be able to see each other again. [BOE] [neutral] [EOE] [EOS] {sep_tok} [BOS] I felt a bit sad as well. [BOE] [sadness] [EOE] [EOS]	2.333	1.0	sadness
